,area_m2,price_usd,lat,lon,place
277,71,78012.85,-12.852844,-38.32711,Lauro de Freitas
279,158,180989.82,-12.941992,-38.403465,Salvador
280,102,265243.71,-12.998506,-38.52309,Salvador
281,54,92679.27,-12.985579,-38.470348,Salvador
282,128,235843.06,-12.98223,-38.43898,Salvador
283,164,414404.29,-12.998506,-38.52309,Salvador
284,210,327653.99,-12.96049,-38.405239,Salvador
285,139,234038.56,-12.96049,-38.405239,Salvador
286,215,374461.71,-13.002785,-38.519222,Salvador
287,180,265243.71,-13.000443,-38.45739,Salvador
288,212,415028.39,-12.94999,-38.391624,Salvador
289,120,98296.19,-12.998506,-38.52309,Salvador
291,168,312051.42,-12.993533,-38.526047,Salvador
292,142,115146.97,-12.992462,-38.444553,Salvador
294,78,134182.11,-12.985591,-38.469273,Salvador
295,100,109217.99,-12.993493,-38.477962,Salvador
296,198,218435.99,-12.985207,-38.456074,Salvador
297,114,202833.42,-13.000443,-38.45739,Salvador
298,82,81133.37,-12.992462,-38.444553,Salvador
300,203,265243.71,-13.000443,-38.45739,Salvador
301,90,131061.59,-13.002345,-38.528343,Salvador
302,75,85703.4,-12.970389,-38.424129,Salvador
305,67,131061.59,-12.982599,-38.499725,Salvador
306,156,390064.28,-13.002883,-38.486099,Salvador
307,116,208450.35,-12.951526,-38.392464,Salvador
308,143,253385.75,-12.951526,-38.392464,Salvador
309,109,146664.17,-12.968704,-38.435516,Salvador
310,155,310491.16,-12.993305,-38.45739,Salvador
312,71,84253.88,-12.992462,-38.444553,Salvador
313,100,146664.17,-12.99183,-38.477451,Salvador
314,103,186669.16,-12.998506,-38.52309,Salvador
315,89,160706.48,-12.970966,-38.436806,Salvador
316,143,296448.85,-12.941992,-38.403465,Salvador
317,75,77388.75,-12.999527,-38.46265,Salvador
319,230,464956.62,-13.002785,-38.519222,Salvador
320,73,104537.22,-12.985207,-38.456074,Salvador
322,200,187230.85,-12.958966,-38.405651,Salvador
323,74,101416.71,-12.852844,-38.32711,Lauro de Freitas
324,142,274605.25,-12.950598,-38.40873,Salvador
325,77,109217.99,-13.001876,-38.501404,Salvador
326,200,187230.85,-12.958966,-38.405651,Salvador
328,210,238719.34,-13.000443,-38.45739,Salvador
329,105,136490.6,-12.998506,-38.52309,Salvador
330,210,238719.34,-13.000443,-38.45739,Salvador
331,105,136490.6,-12.998506,-38.52309,Salvador
332,186,405666.85,-13.009664,-38.486431,Salvador
334,128,140423.14,-13.002345,-38.528343,Salvador
335,139,249641.14,-12.993305,-38.45739,Salvador
336,182,436871.99,-13.004878,-38.532276,Salvador
337,139,249641.14,-12.993305,-38.45739,Salvador
338,182,436871.99,-13.004878,-38.532276,Salvador
339,204,452474.56,-13.002883,-38.486099,Salvador
340,204,468077.13,-13.002883,-38.486099,Salvador
341,82,131061.59,-12.990577,-38.510612,Salvador
342,82,131061.59,-12.990577,-38.510612,Salvador
343,110,93615.42,-12.992462,-38.444553,Salvador
344,106,185670.59,-12.9371316,-38.3556842,Salvador
345,63,109217.99,-12.974083,-38.431091,Salvador
346,110,93615.42,-12.992462,-38.444553,Salvador
347,106,185670.59,-12.9371316,-38.3556842,Salvador
348,63,109217.99,-12.974083,-38.431091,Salvador
349,67,112338.51,-12.971625,-38.486305,Salvador
350,88,121700.05,-12.985591,-38.469273,Salvador
351,88,121700.05,-12.985591,-38.469273,Salvador
352,133,199182.42,-12.952238,-38.395287,Salvador
354,67,106097.48,-12.937969,-38.381538,Salvador
355,82,127941.08,-12.937969,-38.381538,Salvador
356,67,106097.48,-12.937969,-38.381538,Salvador
358,110,215315.48,-12.993305,-38.45739,Salvador
359,112,196592.39,-12.993533,-38.526047,Salvador
361,53,90800.72,-12.985591,-38.469273,Salvador
362,60,96735.94,-13.007857,-38.498463,Salvador
364,79,156457.9,-12.98223,-38.43898,Salvador
365,103,252888.97,-12.998506,-38.52309,Salvador
366,90,158740.56,-12.970966,-38.436806,Salvador
367,84,146664.17,-13.000443,-38.45739,Salvador
368,59,130749.54,-13.000164,-38.489021,Salvador
369,97,193471.88,-13.000443,-38.45739,Salvador
370,110,152905.19,-12.983924,-38.450443,Salvador
371,84,146664.17,-13.000443,-38.45739,Salvador
372,59,130749.54,-13.000164,-38.489021,Salvador
374,115,288335.51,-13.000164,-38.489021,Salvador
375,113,101416.71,-14.827576,-39.029541,Ilhéus
376,109,160706.48,-14.801797,-39.041534,Ilhéus
377,112,90494.91,-14.859674,-40.820404,Vitória da Conquista
382,70,133462.52,-12.965071,-38.435036,Salvador
383,65,102641.2,-12.938337,-38.362667,Salvador
384,67,86296.26,-12.149824,-44.992315,Barreiras
388,86,132683.01,-14.78655,-39.03495,Ilhéus
390,75,76452.59,-14.844938,-39.026431,Ilhéus
391,113,102581.9,-14.827576,-39.029541,Ilhéus
393,58,91811.77,-14.816835,-39.025423,Ilhéus
394,132,78012.85,-12.139819,-45.012824,Barreiras
395,84,122636.21,-14.78619,-39.03628,Ilhéus
398,96,87374.39,-12.144439,-44.996502,Barreiras
401,194,102976.97,-12.149369,-44.990957,Barreiras
402,220,405666.85,-13.009679,-38.486305,Salvador
403,220,405666.85,-13.009679,-38.486305,Salvador
404,142,343256.56,-12.950598,-38.40873,Salvador
405,108,168507.77,-12.993305,-38.45739,Salvador
406,108,168507.77,-12.993305,-38.45739,Salvador
407,74,102976.97,-12.990577,-38.510612,Salvador
408,140,140423.14,-13.009875,-38.481541,Salvador
409,94,165387.25,-12.970382,-38.512382,Salvador
410,67,140423.14,-12.985207,-38.456074,Salvador
411,140,140423.14,-13.009875,-38.481541,Salvador
412,60,117647.44,-12.993782,-38.492218,Salvador
413,110,126968.0,-12.971756,-38.438103,Salvador
414,105,218435.99,-12.993305,-38.45739,Salvador
415,110,126968.0,-12.971756,-38.438103,Salvador
416,105,218435.99,-12.993305,-38.45739,Salvador
417,115,143543.65,-13.000443,-38.45739,Salvador
418,115,143543.65,-13.000443,-38.45739,Salvador
419,65,86219.8,-14.840205,-39.031994,Ilhéus
420,74,109998.12,-14.805622,-39.037059,Ilhéus
421,115,196592.39,-13.009623,-38.514156,Salvador
422,110,131061.59,-12.983924,-38.450443,Salvador
423,57,98296.19,-12.957254,-38.429649,Salvador
426,243,452474.56,-12.950598,-38.40873,Salvador
432,58,76452.59,-12.939807,-38.367931,Salvador
433,92,165387.25,-13.001169,-38.49419,Salvador
435,77,140423.14,-12.990577,-38.510612,Salvador
436,145,191131.49,-13.000443,-38.45739,Salvador
437,90,99856.45,-12.9371316,-38.3556842,Salvador
438,180,143543.65,-14.837616,-39.028094,Ilhéus
439,203,265243.71,-13.000443,-38.45739,Salvador
440,75,118579.54,-12.981397,-38.441444,Salvador
442,140,230918.05,-12.9429024,-38.3982041,Salvador
