area_m2,price_usd,lat,lon,place
190,131061.59,-13.0087625,-38.4915625,Salvador
54,98296.19,-12.992939,-38.473164,Salvador
160,277725.76,-12.958966,-38.405651,Salvador
80,117019.28,-12.974941,-38.440117,Salvador
122,96735.94,-12.987904,-38.502075,Salvador
80,117019.28,-12.974941,-38.440117,Salvador
160,277725.76,-12.958966,-38.405651,Salvador
54,98296.19,-12.992939,-38.473164,Salvador
73,234038.56,-13.004092,-38.5047,Salvador
75,109217.99,-12.9808591,-38.4468721,Salvador
90,130142.2,-12.971983,-38.435127,Salvador
155,426109.46,-12.995359,-38.4727763,Salvador
90,130142.2,-12.971983,-38.435127,Salvador
138,280846.28,-14.860086,-40.827396,Vitória da Conquista
89,131061.59,-12.990577,-38.510612,Salvador
56,78012.85,-12.971625,-38.486305,Salvador
56,78012.85,-12.971625,-38.486305,Salvador
82,156025.71,-12.987011,-38.439724,Salvador
115,156025.71,-13.004092,-38.5047,Salvador
230,249641.14,-13.002217,-38.516796,Salvador
230,249641.14,-13.002217,-38.516796,Salvador
75,84253.88,-12.987656,-38.482941,Salvador
75,84253.88,-12.987656,-38.482941,Salvador
54,75828.49,-13.009679,-38.486305,Salvador
80,124820.57,-13.007857,-38.498463,Salvador
135,202833.42,-12.9994819,-38.4560755,Salvador
53,99856.45,-12.993533,-38.526047,Salvador
72,102976.97,-12.993305,-38.45739,Salvador
53,99856.45,-12.993533,-38.526047,Salvador
72,102976.97,-12.993305,-38.45739,Salvador
150,227797.54,-14.865803,-40.822427,Vitória da Conquista
95,143543.65,-12.994513,-38.479004,Salvador
85,104537.22,-12.852844,-38.32711,Lauro de Freitas
132,215315.48,-12.941992,-38.403465,Salvador
211,374461.71,-13.004878,-38.532276,Salvador
132,215315.48,-12.941992,-38.403465,Salvador
95,143543.65,-12.994513,-38.479004,Salvador
85,104537.22,-12.852844,-38.32711,Lauro de Freitas
184,436871.99,-13.009664,-38.486431,Salvador
172,305810.39,-12.950598,-38.40873,Salvador
184,436871.99,-13.009664,-38.486431,Salvador
90,171628.28,-13.00525,-38.516327,Salvador
90,171628.28,-13.00525,-38.516327,Salvador
106,162266.74,-13.004092,-38.5047,Salvador
106,162266.74,-13.004092,-38.5047,Salvador
130,168507.77,-12.985207,-38.456074,Salvador
235,299854.8,-12.9979705,-38.5200581,Salvador
115,127941.08,-12.992462,-38.444553,Salvador
115,127941.08,-12.992462,-38.444553,Salvador
230,265243.71,-12.998506,-38.52309,Salvador
107,137302.62,-14.74019,-39.064465,Ilhéus
98,131061.59,-12.994164,-38.518372,Salvador
132,109217.99,-12.998506,-38.52309,Salvador
110,152905.19,-15.61667,-39.7,Salvador
134,234038.56,-12.993305,-38.45739,Salvador
95,246520.62,-13.000443,-38.45739,Salvador
168,154465.45,-12.985579,-38.470348,Salvador
115,118579.54,-12.998506,-38.52309,Salvador
70,98400.2,-12.98223,-38.43898,Salvador
178,140423.14,-12.993305,-38.45739,Salvador
117,176933.15,-12.991933,-38.465279,Salvador
60,90494.91,-13.001169,-38.49419,Salvador
58,113898.77,-12.985207,-38.456074,Salvador
134,280846.28,-12.992472,-38.52298,Salvador
95,246520.62,-13.000443,-38.45739,Salvador
168,154465.45,-12.985579,-38.470348,Salvador
115,118579.54,-12.998506,-38.52309,Salvador
70,98400.2,-12.98223,-38.43898,Salvador
178,140423.14,-12.993305,-38.45739,Salvador
77,109217.99,-12.992462,-38.444553,Salvador
161,343256.56,-12.985207,-38.456074,Salvador
77,109217.99,-12.992462,-38.444553,Salvador
161,343256.56,-12.985207,-38.456074,Salvador
70,118579.54,-12.852844,-38.32711,Lauro de Freitas
95,93615.42,-12.990577,-38.510612,Salvador
87,101416.71,-13.000443,-38.45739,Salvador
110,140423.14,-13.0093147,-38.5237408,Salvador
170,296448.85,-12.985207,-38.456074,Salvador
90,262123.19,-13.000443,-38.45739,Salvador
170,296448.85,-12.985207,-38.456074,Salvador
90,262123.19,-13.000443,-38.45739,Salvador
194,452474.56,-12.998506,-38.52309,Salvador
113,104537.22,-12.9903761,-38.4468721,Salvador
194,452474.56,-12.998506,-38.52309,Salvador
105,171628.28,-12.993889,-38.479481,Salvador
99,258475.31,-12.992472,-38.52298,Salvador
100,273625.41,-12.992472,-38.52298,Salvador
69,93615.42,-13.001087,-38.4919634,Salvador
80,146664.17,-13.000443,-38.45739,Salvador
230,234038.56,-12.992472,-38.52298,Salvador
76,118579.54,-12.974941,-38.440117,Salvador
80,146664.17,-13.000443,-38.45739,Salvador
230,234038.56,-12.992472,-38.52298,Salvador
76,118579.54,-12.974941,-38.440117,Salvador
125,105161.33,-12.9467146,-38.374547,Salvador
119,202833.42,-12.9994819,-38.4560755,Salvador
110,180989.82,-12.9994819,-38.4560755,Salvador
85,93303.37,-13.0132556,-38.4839945,Salvador
137,215315.48,-13.000443,-38.45739,Salvador
68,93615.42,-12.992462,-38.444553,Salvador
137,215315.48,-13.000443,-38.45739,Salvador
120,180989.82,-12.985207,-38.456074,Salvador
70,109217.99,-13.000443,-38.45739,Salvador
80,137302.62,-13.003813,-38.528656,Salvador
70,109217.99,-13.000443,-38.45739,Salvador
83,140458.3,-12.9798238,-38.4573653,Salvador
72,84253.88,-16.403285,-39.053897,Porto Seguro
155,360747.98,-12.964468,-38.417938,Salvador
80,115459.02,-12.998506,-38.52309,Salvador
89,152905.19,-13.000443,-38.45739,Salvador
107,156025.71,-12.98223,-38.43898,Salvador
89,152905.19,-13.000443,-38.45739,Salvador
107,156025.71,-12.98223,-38.43898,Salvador
58,84253.88,-14.770444,-39.061959,Ilhéus
58,74892.34,-14.822861,-39.026809,Ilhéus
105,106097.48,-13.0089806,-38.4958405,Salvador
134,358235.03,-12.992472,-38.52298,Salvador
134,358375.46,-12.992472,-38.52298,Salvador
134,358375.46,-12.992472,-38.52298,Salvador
134,356590.52,-12.992472,-38.52298,Salvador
134,366451.35,-12.992472,-38.52298,Salvador
